R device_connect OK
R device_subscribe gsr OK
E4_Bvp 1502566024.76536 -36.96926
E4_Bvp 1502566024.78099 -32.67112
E4_Bvp 1502566024.79661 -23.117
E4_Bvp 1502566024.81224 -12.45284
E4_Bvp 1502566024.82786 -4.734095
E4_Bvp 1502566024.84349 -3.234504
E4_Bvp 1502566024.85912 -9.510221
E4_Bvp 1502566024.87474 -22.64445
E4_Bvp 1502566024.89037 -36.17275
E4_Bvp 1502566024.90599 -41.77851
E4_Bvp 1502566024.92162 -35.34447
E4_Bvp 1502566024.93724 -16.13809
E4_Bvp 1502566024.95287 15.97862
E4_Bvp 1502566024.9685 60.40639
E4_Bvp 1502566024.98412 114.341
E4_Bvp 1502566024.99975 172.7938
E4_Bvp 1502566025.01537 210.1743
E4_Bvp 1502566025.031 204.9734
E4_Bvp 1502566025.04662 167.902
E4_Bvp 1502566025.06225 123.2521
E4_Bvp 1502566025.07788 83.77063
E4_Bvp 1502566025.0935 51.73573
E4_Bvp 1502566025.10913 26.22923
E4_Bvp 1502566025.12475 5.813075
E4_Bvp 1502566025.14038 -10.46925
E4_Bvp 1502566025.156 -22.98933
E4_Bvp 1502566025.17163 -28.96213
E4_Bvp 1502566025.18726 -26.07443
E4_Bvp 1502566025.20288 -17.40651
E4_Bvp 1502566025.21851 -8.85761
E4_Bvp 1502566025.23413 -4.637755
E4_Bvp 1502566025.24976 -5.457405
E4_Bvp 1502566025.26538 -10.31373
E4_Bvp 1502566025.28101 -17.22015
E4_Bvp 1502566025.29664 -23.81544
E4_Bvp 1502566025.31226 -25.83808
E4_Bvp 1502566025.32789 -20.42269
E4_Bvp 1502566025.34351 -10.54254
E4_Bvp 1502566025.35914 -3.283104
E4_Bvp 1502566025.37476 -5.700539
E4_Bvp 1502566025.39039 -20.64985
E4_Bvp 1502566025.40602 -47.2198
E4_Bvp 1502566025.42164 -80.40975
E4_Bvp 1502566025.43727 -112.6564
E4_Gsr 1502566182.416 0
E4_Gsr 1502566182.666 0.115292
E4_Gsr 1502566182.916 0.2792629
E4_Gsr 1502566183.166 0.1345074
E4_Gsr 1502566183.416 0
E4_Gsr 1502566183.666 0
E4_Bvp 1502566025.45289 -134.9503
E4_Bvp 1502566025.46852 -141.1727
